marca,modelo,sistema,lanzamiento
Acer,Acer Iconia One 7 B1-730,"Android 4.2.2, up to 4.4.2",2014
Haier,Haier G51,Android 7.0,2017
Samsung,Samsung Galaxy Tab 4 7.0 LTE,"Android 4.4.2, TouchWiz UX UI",2014
vivo,vivo Y91,"Android 8.1, Funtouch 4.5",2018
Motorola,Motorola Moto G 5G,Android 10,2020
LG,LG G Pad 8.3 LTE,"Android 4.2.2, up to 5.0",2014
BenQ,BenQ T51,Feature phone,0
Samsung,Samsung A837 Rugby,Feature phone,2008
Acer,Acer Iconia Tab A3-A20FHD,Android 4.4,2014
BLU,BLU Deco Pro,Feature phone,2011
Pantech,Pantech Vega Racer 2 IM-A830L,Android 4.0,2012
Dell,Dell Venue 7 8 GB,Android 4.2.2,2013
LG,LG L1100,Feature phone,2004
Samsung,Samsung Galaxy A10e,"Android 9.0, up to Android 11, One UI 3.1",2019
Motorola,Motorola XOOM 2 MZ615,"Android 3.2, up to 4.0.4",2011
BLU,BLU Studio J8,Android 7.0,2017
Plum,Plum Spare,Feature phone,2011
HTC,HTC HD mini,Microsoft Windows Mobile 6.5.3 Professional,2010
vivo,vivo U20,"Android 9.0, Funtouch 9.2",2019
LG,LG KG300,Feature phone,2006
LG,LG G2 mini LTE,"Android 4.4.2, up to 5.0.2, LG Optimus UI 3",2014
Sony,Sony Ericsson Xperia Duo,Android 2.3,0
Xiaomi,Xiaomi Mi Pad 3,"Android 7.0, MIUI 9",2017
Nvidia,Nvidia Shield LTE,"Android 4.4.2, up to 4.4.4",2014
BLU,BLU Studio X Mini,Android 5.1,2016
Micromax,Micromax Unite 4 plus,Android 6.0,2016
Posh,Posh Icon HD X551,Android 5.1,2016
i-mobile,i-mobile TV 536,Feature phone,2009
Toshiba,Toshiba Excite Pro,"Android 4.2.1, upgrad&#1072;ble to 4.3",2013
Vertu,Vertu Constellation Quest,Symbian OS,2010
Icemobile,Icemobile Prime Plus,Android 4.0,2012
Motorola,Motorola MILESTONE 2 ME722,Android 2.2,2011
Gionee,Gionee M6s Plus,"Android 6.0, Amigo 3.5",2017
Sony,Sony Ericsson W760,Feature phone,2008
Amoi,Amoi V810,Feature phone,2006
Meizu,Meizu M1 Metal,"Android, 5.1.1, Flyme 5.1",2015
HTC,HTC Desire VC,"Android 4.0, Sense UI 4",2012
alcatel,alcatel 7,Android 8.1,2018
Micromax,Micromax Canvas Amaze 2 E457,Android 5.0.2,2016
LG,LG Vu Plus,Feature phone,2010
Samsung,Samsung Galaxy S9,"Android 8.0, up to Android 10, One UI 2.5",2018
Samsung,Samsung Galaxy Music Duos S6012,"Android 4.0.4, up to 4.1",2012
Dell,Dell Venue 8,Android 4.2.2,2013
Benefon,Benefon Esc!,Feature phone,1999
HP,HP iPAQ h6320,Microsoft Windows Mobile 2003 Poc&hellip;,2004
Apple,Apple iPhone 8,"iOS 11, up to iOS 14.7",2017
Pantech,Pantech Breeze III,Feature phone,2011
Celkon,Celkon A107,Android 4.0,2013
Samsung,Samsung Galaxy Xcover 3,"Android 4.4.4, up to 5.0",2015
BLU,BLU Samba Elite,Feature phone,2011
NEC,NEC N938,Feature phone,2005
Samsung,Samsung J150,Feature phone,2008
alcatel,alcatel Pixi 4 (3.5),Android 5.1,2016
Nokia,Nokia 3208c,Feature phone,2009
Huawei,Huawei nova,"Android 6.0.1, up to 7.0, EMUI 4.1",2016
verykool,verykool s5525 Maverick III,Android 6.0,2016
Nokia,Nokia 3100,Feature phone,2003
Realme,Realme Narzo 10,"Android 10, Realme UI",2020
Samsung,Samsung Ch@t 322 Wi-Fi,Feature phone,2011
Micromax,Micromax Funbook P300,Android 4.0.3,2012
LG,LG Optimus L9 II,"Android 4.1.2, upgrad&#1072;ble to 4.4.2",2013
Lenovo,Lenovo K3,Android 4.4.2,2014
Acer,Acer Liquid,Android 1.6,2009
BLU,BLU Life One X2,Android 6.0.1,2016
Huawei,Huawei Mate S,"Android 5.1.1, up to 6.0, EMUI 3.1",2015
Micromax,Micromax X396,Feature phone,2013
Samsung,Samsung X300,Feature phone,2006
Honor,Honor U8860,"Android 2.3, up to 4.0",2011
Xiaomi,Xiaomi Redmi 9C NFC,"Android 10, MIUI 12",2020
Realme,Realme C3,"Android 10, Realme UI",2020
alcatel,alcatel 3T 10,Android 8.1,2019
Samsung,Samsung N400,Feature phone,2001
Philips,Philips S396,Android 5.1,2015
Nokia,Nokia 150,Feature phone,2017
Lenovo,Lenovo K6 Power,"Android 6.0, up to 7.0",2016
Motorola,Motorola Aura,Feature phone,2008
LG,LG C3400,Feature phone,2005
HP,HP iPAQ h6315,Microsoft Windows Mobile 2003 Poc&hellip;,2004
